"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 22 - State Senator","Sam Hunt","(Prefers Democratic Party)",17992,55.43,"Legislative"
"Legislative District 22 - State Senator","Spencer Baldwin","(Prefers Democratic Party)",2662,8.2,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Rhenda Iris Strub","(Prefers Democratic Party)",5251,15.88,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Franklin Edwards ","(Prefers Democrat Party)",1694,5.12,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Laurie Dolan","(Prefers Democratic Party)",10352,31.3,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Donald Austin","(Prefers Republican Party)",9231,27.91,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Karen Johnson","(Prefers Democratic Party)",6542,19.78,"Legislative"
"Legislative District 22 - State Representative Pos. 2","Beth Doglio","(Prefers Democratic Party)",23257,100,"Legislative"
"Legislative District 23 - State Senator","Christine Rolfes","(Prefers Democratic Party)",22794,100,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Loretta Byrnes","(Prefers Republican Party)",7870,25.74,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Jack Carroll","(Prefers Democratic Party)",2208,7.22,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Sherry V. Appleton","(Prefers Democratic Party)",16475,53.89,"Legislative"
"Legislative District 23 - State Representative Pos. 1","April Ferguson","(Prefers Republican Party)",4021,13.15,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Drew Hansen","(Prefers Democratic Party)",22258,100,"Legislative"
"Legislative District 24 - State Senator","Kevin Van De Wege","(Prefers Democratic Party)",21700,60.76,"Legislative"
"Legislative District 24 - State Senator","Danille Turissini","(Prefers Independent GOP Party)",14016,39.24,"Legislative"
"Legislative District 24 - State Representative Pos. 1","Mike Chapman","(Prefers Democratic Party)",16506,46.34,"Legislative"
"Legislative District 24 - State Representative Pos. 1","Tammy Ramsay","(Prefers Democratic Party)",5871,16.48,"Legislative"
"Legislative District 24 - State Representative Pos. 1","George Vrable","(Prefers Republican Party)",13239,37.17,"Legislative"
"Legislative District 24 - State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)",21567,60.9,"Legislative"
"Legislative District 24 - State Representative Pos. 2","John D. Alger","(Prefers GOP/Independent Party)",13848,39.1,"Legislative"
"Legislative District 25 - State Senator","Karl Mecklenburg","(Prefers Democratic Party)",9912,40.62,"Legislative"
"Legislative District 25 - State Senator","Hans Zeiger","(Prefers Republican Party)",14492,59.38,"Legislative"
"Legislative District 25 - State Representative Pos. 1","Jamie Smith","(Prefers Democratic Party)",10202,41.89,"Legislative"
"Legislative District 25 - State Representative Pos. 1","Melanie Stambaugh","(Prefers Republican Party)",14155,58.11,"Legislative"
"Legislative District 25 - State Representative Pos. 2","Michelle Chatterton","(Prefers Democratic Party)",10419,43.01,"Legislative"
"Legislative District 25 - State Representative Pos. 2","Joyce McDonald","(Prefers Republican Party)",13805,56.99,"Legislative"
"Legislative District 26 - State Representative Pos. 1","Bill Scheidler","(Prefers Republican Party)",3389,10.89,"Legislative"
"Legislative District 26 - State Representative Pos. 1","Alec Matias","(Prefers Democratic Party)",4168,13.39,"Legislative"
"Legislative District 26 - State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)",12291,39.49,"Legislative"
"Legislative District 26 - State Representative Pos. 1","Larry Seaquist","(Prefers Indep&#39;t Democrat Party)",11275,36.23,"Legislative"
"Legislative District 26 - State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)",17103,56.89,"Legislative"
"Legislative District 26 - State Representative Pos. 2","Randy Spitzer","(Prefers Independent Dem. Party)",12958,43.11,"Legislative"
"Legislative District 27 - State Senator","Greg Taylor","(Prefers Republican Party)",6356,26.07,"Legislative"
"Legislative District 27 - State Senator","Jeannie Darneille","(Prefers Democratic Party)",15141,62.11,"Legislative"
"Legislative District 27 - State Senator","Martin Cline","(Prefers Democratic Party)",2882,11.82,"Legislative"
"Legislative District 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",18810,100,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",18835,100,"Legislative"
"Legislative District 28 - State Senator","Marisa Peloquin","(Prefers Democratic Party)",12309,46.38,"Legislative"
"Legislative District 28 - State Senator","Steve O'Ban","(Prefers Republican Party)",14229,53.62,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Mari Leavitt","(Prefers Democratic Party)",10260,39.33,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Richard (Dick) Muri","(Prefers Republican Party)",13794,52.88,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Anne Setsuko Giroux","(Prefers Democratic Party)",2033,7.79,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Christine Kilduff","(Prefers Democratic Party)",13447,50.85,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Paul Wagemann","(Prefers Republican Party)",7294,27.58,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Michael Winkler","(Prefers Republican Party)",4839,18.3,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Brandon Lyons","(Prefers Libertarian Party)",867,3.28,"Legislative"
"Legislative District 29 - State Representative Pos. 1","Branden Durst","(Prefers Democratic Party)",3614,23.7,"Legislative"
"Legislative District 29 - State Representative Pos. 1","David Sawyer","(Prefers Democratic Party)",6252,41,"Legislative"
"Legislative District 29 - State Representative Pos. 1","Rick Thomas","(Prefers Independent Rep Party)",5381,35.29,"Legislative"
"Legislative District 29 - State Representative Pos. 2","Jessica Garcia","(Prefers Republican Party)",5984,38.32,"Legislative"
"Legislative District 29 - State Representative Pos. 2","Steve Kirby","(Prefers Democratic Party)",9633,61.68,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Linda Kochmar","(Prefers Republican Party)",9873,47.69,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Mike Pellicciotti","(Prefers Democratic Party)",10828,52.31,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Kristine Reeves","(Prefers Democratic Party)",10412,50.16,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Teri Hickel","(Prefers Republican Party)",10344,49.84,"Legislative"
"Legislative District 31 - State Representative Pos. 1","Drew Stokesbary","(Prefers Republican Party)",17184,73.98,"Legislative"
"Legislative District 31 - State Representative Pos. 1","John Frostad","(Prefers Libertarian Party)",6045,26.02,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Lane Walthers","(Prefers Independent Dem. Party)",9007,36.35,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Pablo Monroy","(Prefers Republican Party)",2316,9.35,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Phil Fortunato","(Prefers Republican Party)",9878,39.86,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Morgan Irwin","(Prefers Republican Party)",3580,14.45,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",22927,73.83,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Keith Smith","(States No Party Preference)",2445,7.87,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Alvin Rutledge","(Prefers Republican Party)",5680,18.29,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Ruth Kagi","(Prefers Democratic Party)",20221,64.74,"Legislative"
"Legislative District 32 - State Representative Pos. 2","David D. Schirle ","(Prefers Republican Party)",6946,22.24,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Alex Hart","(Prefers Libertarian Party)",879,2.81,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Wesley Irwin","(Prefers Democratic Party)",3186,10.2,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Charles Schaefer","(Prefers Libertarian Party)",897,4.33,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Tina L. Orwall","(Prefers Democratic Party)",14207,68.57,"Legislative"
"Legislative District 33 - State Representative Pos. 1","John Potter","(Prefers Republican Party)",5616,27.1,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Mia Su-Ling Gregerson","(Prefers Democratic Party)",13098,64.32,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Pamela Pollock","(Prefers Republican Party)",7267,35.68,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Matthew Benson","(Prefers Republican Party)",5767,16.12,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Eileen L. Cody","(Prefers Democratic Party)",26189,73.18,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Brendan B. Kolding","(Prefers Democratic Party)",3830,10.7,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",28967,80.98,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Andrew Pilloud","(Prefers Republican Party)",6804,19.02,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)",17267,54.45,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Irene Bowling","(Prefers Independent Dem. Party)",14442,45.55,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)",16774,53.8,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Craig Patti","(Prefers Independent Dem. Party)",14403,46.2,"Legislative"
"Legislative District 36 - State Senator","Reuven Carlyle","(Prefers Democratic Party)",34600,100,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Noel Christina Frame","(Prefers Democratic Party)",33154,100,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Gael Tarleton","(Prefers Democratic Party)",33330,100,"Legislative"
"Legislative District 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",27183,93.15,"Legislative"
"Legislative District 37 - State Representative Pos. 1","John Dickinson","(States No Party Preference)",1999,6.85,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Eric Pettigrew","(Prefers Democratic Party)",26097,89.31,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Tamra Smilanich","(Prefers Non-Partisan Party)",3125,10.69,"Legislative"
"Legislative District 38 - State Representative Pos. 1","June Robinson","(Prefers Democratic Party)",16294,100,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Mike Sells","(Prefers Democratic Party)",14227,69.21,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Bert Johnson","(Prefers Independent Party)",6329,30.79,"Legislative"
"Legislative District 39 - State Senator","Kirk Pearson","(Prefers Republican Party)",19810,100,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Linda M. Wright","(Prefers Democrat Party)",10383,40.37,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Dan Kristiansen","(Prefers Republican Party)",15334,59.63,"Legislative"
"Legislative District 39 - State Representative Pos. 2","John Koster","(Prefers Republican Party)",14821,57.09,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Ronda Metcalf","(Prefers Democratic Party)",9920,38.21,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Shane Driscoll","(Prefers Libertarian Party)",1220,4.7,"Legislative"
"Legislative District 40 - State Senator","Kevin Ranker ","(Prefers Democratic Party)",21404,67.35,"Legislative"
"Legislative District 40 - State Senator","Daniel R. Miller","(Prefers Republican Party)",10377,32.65,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Kristine Lytton","(Prefers Democratic Party)",22955,100,"Legislative"
"Legislative District 40 - State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)",22430,100,"Legislative"
"Legislative District 41 - State Senator","Bryan Simonson","(Prefers Libertarian Party)",1189,3.92,"Legislative"
"Legislative District 41 - State Senator","Steve Litzow","(Prefers Republican Party)",14344,47.29,"Legislative"
"Legislative District 41 - State Senator","Lisa Wellman","(Prefers Democratic Party)",14800,48.79,"Legislative"
"Legislative District 41 - State Representative Pos. 1","Tana Senn","(Prefers Democratic Party)",19436,65.1,"Legislative"
"Legislative District 41 - State Representative Pos. 1","John Pass","(Prefers Republican Party)",10419,34.9,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Angel Jordan","(Prefers Libertarian Party)",636,2.12,"Legislative"
"Legislative District 41 - State Representative Pos. 2","William Popp, Sr.","(Prefers Democratic Party)",2914,9.72,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Judy Clibborn","(Prefers Democratic Party)",16533,55.16,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Michael Appleby","(Prefers Republican Party)",9889,32.99,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Luanne Van Werven","(Prefers Republican Party)",16834,51.81,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Jacob Lamont","(Prefers Libertarian Party)",1023,3.15,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Sharlaine LaClair","(Prefers Democratic Party)",13082,40.26,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Doug Karlberg","(States No Party Preference)",1551,4.77,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Jerry Burns","(Prefers Libertarian Party)",585,1.82,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Tracy Atwood","(Prefers Democratic Party)",10867,33.87,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Dale Dickson","(Prefers Independent Party)",3224,10.05,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Vincent Buys","(Prefers Republican Party)",17408,54.26,"Legislative"
"Legislative District 43 - State Representative Pos. 1","John Eddy","(States No Party Preference)",455,1.18,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Sameer Ranade","(Prefers Democratic Party)",1881,4.89,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Nicole Macri","(Prefers Democratic Party)",20180,52.41,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Zachary Zaerr","(Prefers Republican Party)",2326,6.04,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Dan Shih","(Prefers Democratic Party)",9497,24.67,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Thomas Pitchford","(Prefers Democratic Party)",745,1.93,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Scott Forbes","(Prefers Democratic Party)",2247,5.84,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Marcus Courtney","(Prefers Democrat Party)",1171,3.04,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Frank Chopp","(Prefers Democratic Party)",31930,100,"Legislative"
"Legislative District 44 - State Representative Pos. 1","John Lovick","(Prefers Democratic Party)",14833,50.86,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Janice Huxford","(Prefers Republican Party)",13470,46.19,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Wilberforce Agyekum","(States No Party Preference)",860,2.95,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Chase Endreson","(States No Party Preference)",1166,4.12,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Kerry Watkins ","(Prefers Democrat Party)",2775,9.81,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Morrel James Muller","(Prefers Democrat Party)",634,2.24,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Katrina Ondracek","(Prefers Democratic Party)",9116,32.22,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Mark Harmsworth","(Prefers Republican Party)",14598,51.6,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Ramiro Valderrama","(Prefers GOP Party)",11035,38.27,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",17801,61.73,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",21017,100,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",33327,88.15,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Stephanie Heart Viskovich","(Prefers Libertarian Party)",4479,11.85,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Jessyn Farrell","(Prefers Democratic Party)",32170,100,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)",13050,58.28,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Brooke Valentine","(Prefers Democratic Party)",9342,41.72,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)",12692,56.45,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Barry Knowles","(Prefers Republican Party)",9790,43.55,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Patty Kuderer","(Prefers Democratic Party)",17504,74.1,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Michelle Darnell","(Prefers Libertarian Party)",6117,25.9,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Joan McBride","(Prefers Democratic Party)",18157,77.56,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Benjamin Judah Phelps","(Prefers Libertarian Party)",5254,22.44,"Legislative"
"Legislative District 49 - State Senator","Justin M. Forsman","(Prefers Independent Party)",1194,5.4,"Legislative"
"Legislative District 49 - State Senator","Annette Cleveland","(Prefers Democratic Party)",12581,56.87,"Legislative"
"Legislative District 49 - State Senator","Lewis Gerhardt","(Prefers Republican Party)",6980,31.55,"Legislative"
"Legislative District 49 - State Senator","Vaughn Gregor Henderson","(Prefers Democratic Party)",1366,6.18,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",13823,74.03,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Kaitlyn Beck","(Prefers Democratic Party)",4381,23.46,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Monica Jurado Stonier","(Prefers Democratic Party)",8367,37.03,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Wade McLaren","(Prefers Republican Party)",3738,16.54,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Carolyn Crain","(Prefers Republican Party)",4175,18.48,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Alishia Topper","(Prefers Democratic Party)",6314,27.95,"Legislative"
"Supreme Court - Justice Position 5","Barbara Madsen","",759475,63.9,"Judicial"
"Supreme Court - Justice Position 5","Greg Zempel","",353149,29.71,"Judicial"
"Supreme Court - Justice Position 5","(Zamboni) John Scannell","",75849,6.38,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","Jessica (Taylor) Reeves","",6499,45.88,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","Dave Turplesmith","",3748,26.46,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","Terry L. Williams","",3919,27.66,"Judicial"
"King Superior Court - Judge Position 44","Cathy Moore","",208371,55.76,"Judicial"
"King Superior Court - Judge Position 44","Eric Newman","",135970,36.39,"Judicial"
"King Superior Court - Judge Position 44","Jackson Schmidt","",29353,7.85,"Judicial"
"Kittitas Superior Court - Judge Position 1","Candace Hooper","",3767,50.51,"Judicial"
"Kittitas Superior Court - Judge Position 1","CK Powers","",1727,23.16,"Judicial"
"Kittitas Superior Court - Judge Position 1","Chris Herion","",1964,26.33,"Judicial"
"Pierce Superior Court - Judge Position 8","Grant Blinn","",50760,41.39,"Judicial"
"Pierce Superior Court - Judge Position 8","Dwayne L. Christopher","",38636,31.51,"Judicial"
"Pierce Superior Court - Judge Position 8","Jack Hill","",33229,27.1,"Judicial"
"Pierce Superior Court - Judge Position 17","David Ladenburg","",37705,30.2,"Judicial"
"Pierce Superior Court - Judge Position 17","Karena Kirkendoll","",47182,37.79,"Judicial"
"Pierce Superior Court - Judge Position 17","Tom Quinlan","",39951,32,"Judicial"
"Snohomish Superior Court - Judge Position 3","Cindy Larsen","",55712,44.83,"Judicial"
"Snohomish Superior Court - Judge Position 3","S. Richard Peterson","",9172,7.38,"Judicial"
"Snohomish Superior Court - Judge Position 3","Rico Tessandore","",42404,34.12,"Judicial"
"Snohomish Superior Court - Judge Position 3","Kevin Patrick McCabe","",16980,13.66,"Judicial"
