"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",17937,74.05,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Lauren Walker","(Prefers Democratic Party)",10639,46.83,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",12078,53.17,"Legislative"
"Legislative District 28 - State Senator","Yoshie Wong","(Prefers Democratic Party)",10838,39.56,"Legislative"
"Legislative District 28 - State Senator","Mike Carrell","(Prefers G.O.P. Party)",16559,60.44,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Eric Choiniere","(Prefers Democratic Party)",11391,42.84,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Steve O'Ban","(Prefers Republican Party)",12375,46.54,"Legislative"
"Legislative District 28 - State Representative Pos. 1","Ken Campbell","(Prefers Republican Party)",2826,10.63,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Tami Green","(Prefers Democratic Party)",14110,51.26,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Paul Wagemann","(Prefers Republican Party)",10239,37.2,"Legislative"
"Legislative District 28 - State Representative Pos. 2","Malcolm Russell","(Prefers Republican Party)",3175,11.54,"Legislative"
"Legislative District 29 - State Representative Pos. 1","David Sawyer","(Prefers Democratic Party)",6404,38.66,"Legislative"
"Legislative District 29 - State Representative Pos. 1","Terry Harder","(Prefers Republican Party)",6101,36.84,"Legislative"
"Legislative District 29 - State Representative Pos. 1","Ben Lawver","(Prefers Democratic Party)",4058,24.5,"Legislative"
"Legislative District 29 - State Representative Pos. 2","Steve Kirby","(Prefers Democratic Party)",12840,100,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Linda Kochmar","(Prefers Republican Party)",5492,26.41,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Jerry Galland","(Prefers Republican Party)",1625,7.81,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Thom Macfarlane","(Prefers Democratic Party)",4070,19.57,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Roger Flygare","(Prefers Democratic Party)",5360,25.78,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Tony Moore","(Prefers Republican Party)",4248,20.43,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Katrina Asay","(Prefers Republican Party)",9965,48.54,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Rick Hoffman","(Prefers Democratic Party)",3842,18.72,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Roger Freeman","(Prefers Democratic Party)",6721,32.74,"Legislative"
"Legislative District 31 - State Representative Pos. 1","Brian L. Gunn","(Prefers Democratic Party)",9112,36.04,"Legislative"
"Legislative District 31 - State Representative Pos. 1","Cathy Dahlquist","(Prefers Republican Party)",16169,63.96,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Lisa Connors","(Prefers Republican Party)",10699,43.17,"Legislative"
"Legislative District 31 - State Representative Pos. 2","Christopher Hurst","(Prefers Independent Dem. Party)",14082,56.83,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Randy J. Hayden","(Prefers Republican Party)",8693,30.04,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",20249,69.96,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Robert Reedy","(Prefers Republican Party)",5865,20.14,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Ruth Kagi","(Prefers Democratic Party)",20346,69.87,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Eric R. Alvey","(Prefers Gop Party)",2908,9.99,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Will Benge","(Prefers Republican Party)",5952,29.73,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Tina Orwall","(Prefers Democratic Party)",14070,70.27,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Dave Upthegrove","(Prefers Democratic Party)",15549,98.97,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Write-In: Martin Metz","(Prefers Republican Party)",162,1.03,"Legislative"
"Legislative District 34 - State Representative Pos. 1","William Giammarese","(Prefers Democratic Party)",4492,16.2,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Eileen L. Cody","(Prefers Democratic Party)",23237,83.8,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",24247,100,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Kathy Haigh","(Prefers Democratic Party)",17653,52.46,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)",15999,47.54,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Lynda Ring-Erickson","(Prefers Democratic Party)",9265,27.95,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)",14088,42.5,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Jeff Davis","(Prefers Democratic Party)",7788,23.49,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Glenn H. Gaither","(Prefers Independent Party)",2009,6.06,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Reuven Carlyle","(Prefers Democratic Party)",31623,88.02,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Robert Canamar","(States No Party Preference)",1522,4.24,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Leslie Klein","(Prefers (R) Hope&change Party)",2782,7.74,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Gael Tarleton","(Prefers Democratic Party)",10130,28.28,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Sahar Fathi","(Prefers Democratic Party)",4665,13.02,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Ryan Gabriel","(Prefers Republican Party)",4757,13.28,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Evan Clifthorne","(Prefers Democratic Party)",2113,5.9,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Linde Knighton","(Prefers Progressive Party)",679,1.9,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Brett Phillips","(Prefers Democratic Party)",5034,14.05,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Noel Christina Frame","(Prefers Democratic Party)",8440,23.56,"Legislative"
"Legislative District 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",21855,100,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Tamra Smilanich","(Prefers Non-partisan Party)",3223,13,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Eric Pettigrew","(Prefers Democratic Party)",21569,87,"Legislative"
"Legislative District 38 - State Representative Pos. 1","Sam Wilson","(Prefers Republican Party)",9075,41.36,"Legislative"
"Legislative District 38 - State Representative Pos. 1","John McCoy","(Prefers Democratic Party)",12865,58.64,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Mike Sells","(Prefers Democratic Party)",13156,60.85,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Michael Casey","(Prefers Gop Party)",8463,39.15,"Legislative"
"Legislative District 39 - State Senator","Scott Olson","(Prefers Democratic Party)",11589,42.79,"Legislative"
"Legislative District 39 - State Senator","Kirk Pearson","(Prefers Republican Party)",15494,57.21,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Linda Wright","(Prefers Democrat Party)",11944,44.47,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Dan Kristiansen","(Prefers Republican Party)",14916,55.53,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Robert G. Zimmerman","(Prefers Republican Party)",5943,22.46,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Elizabeth Scott","(Prefers Republican Party)",6830,25.81,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Robert Pilgrim","(Prefers Republican Party)",1793,6.77,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Gregory Dean Lemke","(Prefers Republican Party)",677,2.56,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Jocelynne (Josie) Fallgatter","(Prefers Democratic Party)",3492,13.19,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Eleanor Walters","(Prefers Democratic Party)",7730,29.21,"Legislative"
"Legislative District 40 - State Senator","John Swapp","(Prefers Independent-Gop Party)",10791,34.43,"Legislative"
"Legislative District 40 - State Senator","Kevin Ranker","(Prefers Democratic Party)",18684,59.62,"Legislative"
"Legislative District 40 - State Senator","Jim Cozad","(States No Party Preference)",1864,5.95,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Kristine Lytton","(Prefers Democratic Party)",21777,96.8,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Write-In: Brandon Robinson","(States No Party Preference)",721,3.2,"Legislative"
"Legislative District 40 - State Representative Pos. 2","Howard A. Pellett","(Prefers Green Party)",5568,21.54,"Legislative"
"Legislative District 40 - State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)",20283,78.46,"Legislative"
"Legislative District 41 - State Senator","Maureen Judge","(Prefers Democratic Party)",13874,43.75,"Legislative"
"Legislative District 41 - State Senator","Steve Litzow","(Prefers Republican Party)",17840,56.25,"Legislative"
"Legislative District 41 - State Representative Pos. 1","Tim Eaves","(Prefers Republican Party)",13243,41.92,"Legislative"
"Legislative District 41 - State Representative Pos. 1","Marcie Maxwell","(Prefers Democratic Party)",18349,58.08,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Judy Clibborn","(Prefers Democratic Party)",22326,100,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Natalie McClendon","(Prefers Democratic Party)",13724,44.17,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Jason Overstreet","(Prefers    Republican Party)",17348,55.83,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Matthew Krogh","(Prefers Democrat Party)",13721,44.27,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Vincent Buys","(Prefers Republican Party)",17274,55.73,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Kshama Sawant","(Prefers Socialist Altern Party)",2854,9.13,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Jamie Pedersen","(Prefers Democratic Party)",28405,90.87,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Frank Chopp","(Prefers Democratic Party)",24287,79.69,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Gregory Gadow","(States No Party Preference)",2585,8.48,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Write-In: Kshama Sawant","(Prefers Socialist Altern Party)",3605,11.83,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Hans Dunshee","(Prefers Democratic Party)",14199,52.06,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Mark Harmsworth","(Prefers Republican Party)",8442,30.95,"Legislative"
"Legislative District 44 - State Representative Pos. 1","B.J. Guillot","(Prefers Republican Party)",1027,3.77,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Robert (Bob) McCaughan","(Prefers Republican Party)",3605,13.22,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Mike Hope","(Prefers Republican Party)",15930,58.17,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Mary McNaughton","(Prefers Democratic Party)",11455,41.83,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",14174,48.95,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Jacob Bond","(Prefers Democratic Party)",1895,6.54,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Joel Hussey","(Prefers Republican Party)",12885,44.5,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Jim Thatcher","(Prefers Republican Party)",12773,43.92,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",16309,56.08,"Legislative"
"Legislative District 46 - State Senator","David Frockt","(Prefers Democratic Party)",28144,100,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Sylvester Cann","(Prefers Democratic Party)",12876,40.29,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",19081,59.71,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Jessyn Farrell","(Prefers Democratic  Party)",10560,29.97,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Dusty Hoerler","(Prefers Democratic Party)",4350,12.35,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Scott M. Hodges","(Prefers Republican Party)",6271,17.8,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Shelly Crocker","(Prefers Democratic  Party)",5571,15.81,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Sarajane Siegfriedt","(Prefers Democratic Party)",7823,22.2,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Stan Lippmann","(Prefers Democratic-Repub Party)",656,1.86,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Bud Sizemore","(Prefers Democratic  Party)",10453,46.06,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Mark Hargrove ","(Prefers Republican Party)",12242,53.94,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)",13090,58.23,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Andy Massagli","(Prefers Republican Party)",9391,41.77,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Ross Hunter","(Prefers Democratic Party)",18225,69.01,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Bill Hirt","(Prefers Republican Party)",8183,30.99,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Hank Myers","(Prefers Republican Party)",11395,43.44,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Cyrus Habib","(Prefers Democratic Party)",14838,56.56,"Legislative"
"Legislative District 49 - State Senator","Eileen Qutub","(Prefers G.O.P. Party)",8942,43.54,"Legislative"
"Legislative District 49 - State Senator","Annette Cleveland","(Prefers Democratic Party)",11595,56.46,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",11905,57,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Debbie Peterson","(Prefers Republican Party)",8980,43,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Carolyn Crain","(Prefers Republican Party)",8998,43.09,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Jim Moeller","(Prefers Democratic Party)",11883,56.91,"Legislative"
"Supreme Court - Justice Position 2","Douglas W. McQuaid","",266106,23.84,"Judicial"
"Supreme Court - Justice Position 2","Susan Owens","",707717,63.4,"Judicial"
"Supreme Court - Justice Position 2","Scott Stafne","",142507,12.77,"Judicial"
"Supreme Court - Justice Position 8","Bruce O. Danielson","",438867,39.79,"Judicial"
"Supreme Court - Justice Position 8","Steve Gonzalez","",664103,60.21,"Judicial"
"Supreme Court - Justice Position 9","Bruce Hilyer","",311944,27.48,"Judicial"
"Supreme Court - Justice Position 9","Sheryl Gordon McCloud","",328345,28.93,"Judicial"
"Supreme Court - Justice Position 9","Richard B. Sanders","",323410,28.49,"Judicial"
"Supreme Court - Justice Position 9","John W. Ladenburg","",171429,15.1,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 4","Ronald E. Cox","",253810,100,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 7","Marlin Appelwick","",247549,100,"Judicial"
"Court of Appeals, Division 1, District 3 - Judge Position 1","Mary Kay Becker","",62896,100,"Judicial"
"Court of Appeals, Division 2, District 1 - Judge Position 3","Christine Quinn-Brintnall","",106003,100,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Thomas Bjorgen","",26062,18.21,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Pamela (Pam) Loginsky","",38293,26.76,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Thomas (Tom) E. Weaver, Jr.","",15133,10.57,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Michael Lynch","",20147,14.08,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Brendan Williams","",23706,16.57,"Judicial"
"Court of Appeals, Division 2, District 2 - Judge Position 2","Jim Foley","",19761,13.81,"Judicial"
"Court of Appeals, Division 2, District 3 - Judge Position 1","Joel Penoyar","",72198,100,"Judicial"
"Court of Appeals, Division 3, District 1 - Judge Position 1","Laurel Siddoway","",77767,100,"Judicial"
"Court of Appeals, Division 3, District 3 - Judge Position 2","Devin Poulson","",21630,41.33,"Judicial"
"Court of Appeals, Division 3, District 3 - Judge Position 2","Teresa C. Kulik","",30704,58.67,"Judicial"
"Adams Superior Court  - Judge Position 1","Randy J. Flyckt","",1212,44.07,"Judicial"
"Adams Superior Court  - Judge Position 1","Brian H. Miller","",1538,55.93,"Judicial"
"Asotin, Columbia, Garfield Superior Court - Judge Position 1","William D. (Bill) Acey","",5920,100,"Judicial"
"Chelan Superior Court - Judge Position 1","Lesley A. Allan","",12316,100,"Judicial"
"Chelan Superior Court - Judge Position 2","T.W 'Chip' Small","",12985,100,"Judicial"
"Chelan Superior Court - Judge Position 3","Charles R. Steinberg","",3492,20.22,"Judicial"
"Chelan Superior Court - Judge Position 3","Travis Brandt","",4692,27.17,"Judicial"
"Chelan Superior Court - Judge Position 3","Ruth Esparza","",2320,13.43,"Judicial"
"Chelan Superior Court - Judge Position 3","Alicia H. Nakata","",6768,39.18,"Judicial"
"Clallam Superior Court - Judge Position 1","William Payne","",3763,21.23,"Judicial"
"Clallam Superior Court - Judge Position 1","Christopher Melly","",4192,23.65,"Judicial"
"Clallam Superior Court - Judge Position 1","Erik Rohrer","",6445,36.36,"Judicial"
"Clallam Superior Court - Judge Position 1","Curtis G. Johnson","",3325,18.76,"Judicial"
"Clallam Superior Court - Judge Position 2","George L. Wood","",14031,100,"Judicial"
"Clallam Superior Court - Judge Position 3","S. Brooke Taylor","",13601,100,"Judicial"
"Clark Superior Court - Judge Position 2","John P. Wulle","",27252,46.15,"Judicial"
"Clark Superior Court - Judge Position 2","David E. Gregerson","",31802,53.85,"Judicial"
"Clark Superior Court - Judge Position 8","Josephine(Josie) Townsend","",20969,36.92,"Judicial"
"Clark Superior Court - Judge Position 8","Diane M. Woolard","",35832,63.08,"Judicial"
"Cowlitz Superior Court - Judge Position 4","Joseph Daggy","",7001,39.61,"Judicial"
"Cowlitz Superior Court - Judge Position 4","Marilyn Haan","",10672,60.39,"Judicial"
"Douglas Superior Court  - Judge Position 1","John Hotchkiss","",5556,100,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 1","Patrick A. Monasmith","",10400,100,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","Allen Nielson","",10244,100,"Judicial"
"Grant Superior Court - Judge Position 1","Evan E Sperline","",9396,100,"Judicial"
"Grant Superior Court - Judge Position 2","John Knodell","",8908,100,"Judicial"
"Grant Superior Court - Judge Position 3","John Antosz","",8631,100,"Judicial"
"Grays Harbor Superior Court - Judge Position 1","Gordon L. Godfrey","",10612,100,"Judicial"
"Grays Harbor Superior Court - Judge Position 2","Dave Edwards","",10542,100,"Judicial"
"Grays Harbor Superior Court - Judge Position 3","Mark McCauley","",10597,100,"Judicial"
"Island Superior Court - Judge Position 1","Alan R. Hancock","",17136,100,"Judicial"
"Island Superior Court - Judge Position 2","Vickie I. Churchill","",16620,100,"Judicial"
"Jefferson Superior Court - Judge Position 1","Peggy Ann Bierbaum","",3792,33.42,"Judicial"
"Jefferson Superior Court - Judge Position 1","Keith C Harper","",5439,47.93,"Judicial"
"Jefferson Superior Court - Judge Position 1","Michael Haas","",2117,18.66,"Judicial"
"King Superior Court - Judge Position 25","Elizabeth Berns","",171720,51.39,"Judicial"
"King Superior Court - Judge Position 25","Roger Davidheiser","",108968,32.61,"Judicial"
"King Superior Court - Judge Position 25","Eric Schmidt","",53476,16,"Judicial"
"King Superior Court - Judge Position 29","Hong Tran","",77246,23.11,"Judicial"
"King Superior Court - Judge Position 29","Sean O'Donnell","",257024,76.89,"Judicial"
"King Superior Court - Judge Position 30","Kimberly Allen","",130053,39.59,"Judicial"
"King Superior Court - Judge Position 30","Doug North","",198419,60.41,"Judicial"
"King Superior Court - Judge Position 42","Sue Parisien","",152763,46.7,"Judicial"
"King Superior Court - Judge Position 42","Marianne Jones","",67453,20.62,"Judicial"
"King Superior Court - Judge Position 42","David Ruzumna","",24606,7.52,"Judicial"
"King Superior Court - Judge Position 42","Christopher A. Washington","",82325,25.16,"Judicial"
"King Superior Court - Judge Position 46","Judy Ramseyer","",203728,62.73,"Judicial"
"King Superior Court - Judge Position 46","Gary Ernsdorff","",121064,37.27,"Judicial"
"Kitsap Superior Court - Judge Position 7","Jennifer Forbes","",25248,49.27,"Judicial"
"Kitsap Superior Court - Judge Position 7","Rob MacDermid","",8647,16.87,"Judicial"
"Kitsap Superior Court - Judge Position 7","Bill Houser","",7271,14.19,"Judicial"
"Kitsap Superior Court - Judge Position 7","Karen Klein","",10081,19.67,"Judicial"
"Kittitas Superior Court - Judge Position 1","Paul Sander","",2114,25.4,"Judicial"
"Kittitas Superior Court - Judge Position 1","Jim Denison","",2414,29.01,"Judicial"
"Kittitas Superior Court - Judge Position 1","Fran Chmelewski","",3794,45.59,"Judicial"
"Kittitas Superior Court - Judge Position 2","Scott R. Sparks","",6357,100,"Judicial"
"Klickitat, Skamania Superior Court - Judge Position 1","Brian Altman","",4056,100,"Judicial"
"Lewis Superior Court - Judge Position 1","Nelson E. Hunt","",10915,100,"Judicial"
"Lewis Superior Court - Judge Position 2","James W. Lawler","",11037,100,"Judicial"
"Lewis Superior Court - Judge Position 3","Richard L. Brosey","",11117,100,"Judicial"
"Lincoln Superior Court - Judge Position 1","John F. Strohmaier","",2434,100,"Judicial"
"Mason Superior Court - Judge Position 1","Amber L Finlay","",11147,100,"Judicial"
"Mason Superior Court - Judge Position 2","Toni A. Sheldon","",10915,100,"Judicial"
"Okanogan Superior Court - Judge Position 1","Karl F. Sloan","",3239,39.58,"Judicial"
"Okanogan Superior Court - Judge Position 1","Henry (Hank) Rawson","",4945,60.42,"Judicial"
"Okanogan Superior Court - Judge Position 2","Chris Culp","",6283,100,"Judicial"
"Pacific, Wahkiakum Superior Court - Judge Position 1","Mike Sullivan","",5928,98.73,"Judicial"
"Pacific, Wahkiakum Superior Court - Judge Position 1","Write-In: Dennis Gordon","",76,1.27,"Judicial"
"Pierce Superior Court - Judge Position 5","John (Jack) H. Hill","",49493,38.99,"Judicial"
"Pierce Superior Court - Judge Position 5","Vicki L. Hogan","",77455,61.01,"Judicial"
"Pierce Superior Court - Judge Position 7","Bev Grant","",51485,40.37,"Judicial"
"Pierce Superior Court - Judge Position 7","Jerry Costello","",76049,59.63,"Judicial"
"Pierce Superior Court - Judge Position 12","Antoni H. Froehling","",33890,27.17,"Judicial"
"Pierce Superior Court - Judge Position 12","Stephanie Arend","",90857,72.83,"Judicial"
"Pierce Superior Court - Judge Position 13","James A. Schoenberger, Jr.","",34695,27.81,"Judicial"
"Pierce Superior Court - Judge Position 13","Kathryn Nelson","",90061,72.19,"Judicial"
"Pierce Superior Court - Judge Position 18","G. Helen Whitener","",52277,43.02,"Judicial"
"Pierce Superior Court - Judge Position 18","Stan Rumbaugh","",69228,56.98,"Judicial"
"San Juan Superior Court - Judge Position 1","Donald E. Eaton","",3859,100,"Judicial"
"Snohomish Superior Court - Judge Position 11","Jack Follis","",57214,48.4,"Judicial"
"Snohomish Superior Court - Judge Position 11","Millie Judge","",61000,51.6,"Judicial"
"Thurston Superior Court - Judge Position 2","Victor M. Minjares","",5801,11.9,"Judicial"
"Thurston Superior Court - Judge Position 2","Jim Johnson","",10748,22.04,"Judicial"
"Thurston Superior Court - Judge Position 2","Christine Schaller","",23681,48.56,"Judicial"
"Thurston Superior Court - Judge Position 2","Marie Clarke","",8532,17.5,"Judicial"
"Thurston Superior Court - Judge Position 4","Indu Thomas","",16822,34.19,"Judicial"
"Thurston Superior Court - Judge Position 4","Allen T. Miller","",15401,31.3,"Judicial"
"Thurston Superior Court - Judge Position 4","Erik D. Price","",16984,34.52,"Judicial"
"Walla Walla  Superior Court - Judge Position 1","John W. Lohrmann","",9979,100,"Judicial"
"Walla Walla  Superior Court - Judge Position 2","Richard G. Wernette","",5573,44.63,"Judicial"
"Walla Walla  Superior Court - Judge Position 2","Scott Wolfram","",6913,55.37,"Judicial"
"Whatcom Superior Court - Judge Position 2","Dave Grant","",16963,41.1,"Judicial"
"Whatcom Superior Court - Judge Position 2","Deborra Garrett","",16814,40.74,"Judicial"
"Whatcom Superior Court - Judge Position 2","Carrie M. Coppinger Carter","",7499,18.17,"Judicial"
"Whitman Superior Court - Judge Position 1","David Frazier","",5856,100,"Judicial"
