"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 32 - State Senator","Maralyn Chase","(Prefers Democratic Party)",14928,47.66,"Legislative"
"Legislative District 32 - State Senator","Patty Butler","(Prefers Democratic Party)",3915,12.5,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Art Coday","(Prefers Republican Party)",11747,37.71,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",13179,42.3,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Doris Fujioka McConnell","(Prefers Democratic Party)",6227,19.99,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Gary (G) Gagliardi","(Prefers Republican Party)",11185,35.71,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Ruth Kagi","(Prefers Democratic Party)",17693,56.48,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Stan Lippmann","(Prefers Democratic  Party)",2448,7.81,"Legislative"
"Legislative District 33 - State Senator","Jack Michalek","(Prefers Republican Party)",8120,42.23,"Legislative"
"Legislative District 33 - State Senator","Karen Keiser","(Prefers Democratic Party)",11107,57.77,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Tina Orwall","(Prefers Democratic Party)",12306,100,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Dave Upthegrove","(Prefers Democratic Party)",12651,100,"Legislative"
"Legislative District 34 - State Senator","Sharon K. Nelson","(Prefers Democratic Party)",20530,100,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Eileen L. Cody","(Prefers Democratic Party)",21417,81.57,"Legislative"
"Legislative District 34 - State Representative Pos. 1","Ray Carter","(Prefers Reluctantly R. Party)",4840,18.43,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Geoffrey Mac McElroy","(Prefers Independent Party)",4954,18.41,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",9315,34.61,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Marcee Stone","(Prefers Democratic Party)",3830,14.23,"Legislative"
"Legislative District 34 - State Representative Pos. 2","Mike Heavey","(Prefers Democratic Party)",8814,32.75,"Legislative"
"Legislative District 35 - State Senator","Nancy (grandma) Williams","(Prefers Republican Party)",12974,38.83,"Legislative"
"Legislative District 35 - State Senator","Tim Sheldon","(Prefers Democratic Party)",20437,61.17,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Daniel (Dan) Griffey","(Prefers Republican Party)",17495,49.67,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Kathy Haigh","(Prefers Democratic Party)",17727,50.33,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Fred Finn","(Prefers Democratic Party)",16127,46.62,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Glenn Gaither","(Prefers Independent Party)",4339,12.54,"Legislative"
"Legislative District 35 - State Representative Pos. 2","Linda Simpson","(Prefers Republican Party)",14125,40.83,"Legislative"
"Legislative District 36 - State Senator","Jeanne Kohl-Welles","(Prefers Democratic Party)",26906,83.67,"Legislative"
"Legislative District 36 - State Senator","Leslie Klein","(Prefers (R) Problemfixer Party)",5253,16.33,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Reuven Carlyle","(Prefers Democratic Party)",24387,100,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Jill England","(Prefers Republican Party)",6359,19.53,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Mary Lou Dickerson","(Prefers Democratic Party)",26205,80.47,"Legislative"
"Legislative District 37 - State Senator","Adam Kline","(Prefers Democratic Party)",17706,88.67,"Legislative"
"Legislative District 37 - State Senator","Tamra Smilanich","(States No Party Preference)",2263,11.33,"Legislative"
"Legislative District 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",16562,100,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Eric Pettigrew","(Prefers Democratic Party)",15401,82.73,"Legislative"
"Legislative District 37 - State Representative Pos. 2","John Stafford","(Prefers Democratic Party)",3214,17.27,"Legislative"
"Legislative District 38 - State Senator","Jean Berkey","(Prefers Democratic  Party)",6591,32.16,"Legislative"
"Legislative District 38 - State Senator","Nick Harper","(Prefers Democratic Party)",7193,35.09,"Legislative"
"Legislative District 38 - State Senator","Rod Rieger","(Prefers Conservative Party)",6713,32.75,"Legislative"
"Legislative District 38 - State Representative Pos. 1","Hugh Fleet","(Prefers Republican Party)",9499,46.17,"Legislative"
"Legislative District 38 - State Representative Pos. 1","John McCoy","(Prefers Democratic Party)",11077,53.83,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Iris Lilly","(Prefers Republican Party)",8918,43.73,"Legislative"
"Legislative District 38 - State Representative Pos. 2","Mike Sells","(Prefers Democratic Party)",11474,56.27,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Dan Kristiansen","(Prefers Republican Party)",17967,62.71,"Legislative"
"Legislative District 39 - State Representative Pos. 1","Eleanor Walters","(Prefers Democratic Party)",10685,37.29,"Legislative"
"Legislative District 39 - State Representative Pos. 2","Kirk Pearson","(Prefers Republican Party)",21976,100,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Chuck Carrell","(Prefers Republican Party)",1487,4.4,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Donna R. Miller","(Prefers Republican Party)",2579,7.63,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Doug (Yoshe) Revelle","(Prefers Happiness Party)",647,1.91,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Dusty Gulleson","(Prefers Republican Party)",5295,15.66,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Justin Van Dyk","(Prefers Democratic Party)",1027,3.04,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Kristine Lytton","(Prefers Democratic Party)",8896,26.31,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Mike Newman","(Prefers Republican Party)",5876,17.38,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Thomas Boucher","(Prefers Democratic Party)",2698,7.98,"Legislative"
"Legislative District 40 - State Representative Pos. 1","Tom Pasma","(Prefers Democratic Party)",5308,15.7,"Legislative"
"Legislative District 40 - State Representative Pos. 2","Howard Pellett","(Prefers Green Party)",2666,7.49,"Legislative"
"Legislative District 40 - State Representative Pos. 2","Jeff Morris","(Prefers Democratic Party)",18348,51.56,"Legislative"
"Legislative District 40 - State Representative Pos. 2","John Swapp","(Prefers Republican Party)",14575,40.95,"Legislative"
"Legislative District 41 - State Senator","Randy Gordon","(Prefers Democratic Party)",16846,49.86,"Legislative"
"Legislative District 41 - State Senator","Steve Litzow","(Prefers Republican Party)",16938,50.14,"Legislative"
"Legislative District 41 - State Representative Pos. 1","Marcie Maxwell","(Prefers Democratic Party)",17411,52.07,"Legislative"
"Legislative District 41 - State Representative Pos. 1","Peter Dunbar","(Prefers Republican Party)",16029,47.93,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Judy Clibborn","(Prefers Democratic Party)",18947,56.5,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Orion S. Webster","(Prefers Independent Party)",1736,5.18,"Legislative"
"Legislative District 41 - State Representative Pos. 2","Stephen Strader","(Prefers Republican Party)",12853,38.33,"Legislative"
"Legislative District 42 - State Senator","Doug Ericksen","(Prefers Republican Party)",21822,61.49,"Legislative"
"Legislative District 42 - State Senator","Pat Jerns","(Prefers Democratic Party)",13669,38.51,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Al Jensen","(Prefers Democratic Party)",9285,26.75,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Craig Mayberry","(Prefers Independent Party)",3094,8.91,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Jason Overstreet","(Prefers Republican Party)",15852,45.66,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Michael C. Smith","(Prefers GOP Party)",1522,4.38,"Legislative"
"Legislative District 42 - State Representative Pos. 1","Richard May","(Prefers Democratic Party)",4963,14.3,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Kelli Linville","(Prefers Democratic Party)",17116,48.11,"Legislative"
"Legislative District 42 - State Representative Pos. 2","Vincent Buys","(Prefers Republican Party)",18460,51.89,"Legislative"
"Legislative District 43 - State Senator","Ed Murray","(Prefers Democratic Party)",21993,100,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Jamie Pedersen","(Prefers Democratic Party)",21257,100,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Frank Chopp","(Prefers Democratic Party)",22600,85.29,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Kim Verde","(Prefers Republican Party)",3899,14.71,"Legislative"
"Legislative District 44 - State Senator","Dave Schmidt","(Prefers Republican Party)",11119,36.3,"Legislative"
"Legislative District 44 - State Senator","Lillian Kaufer","(Prefers Democratic Party)",4430,14.46,"Legislative"
"Legislative District 44 - State Senator","Ryan Ferrie","(Prefers Republican Party)",4110,13.42,"Legislative"
"Legislative District 44 - State Senator","Steve Hobbs","(Prefers Democratic Party)",10972,35.82,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Bob McCaughan","(Prefers Republican Party)",10178,33.26,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Hans Dunshee","(Prefers Democratic Party)",14693,48.02,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Shahram Hadian","(Prefers Republican Party)",5726,18.71,"Legislative"
"Legislative District 44 - State Representative Pos. 2","John Boerger","(Prefers Democratic Party)",10629,35.04,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Mike Hope","(Prefers Republican Party)",19703,64.96,"Legislative"
"Legislative District 45 - State Senator","Andy Hill","(Prefers Republican Party)",15979,51.51,"Legislative"
"Legislative District 45 - State Senator","Eric Oemig","(Prefers Democratic Party)",15045,48.49,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Kevin Haistings","(Prefers Republican Party)",15137,49.69,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",15325,50.31,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",16959,55.34,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Mark Isaacs","(Prefers Republican Party)",13687,44.66,"Legislative"
"Legislative District 46 - State Senator","Scott White","(Prefers Democratic Party)",21812,100,"Legislative"
"Legislative District 46 - State Representative Pos. 1","David Frockt","(Prefers Democratic Party)",20722,100,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Beau Gunderson","(States No Party Preference)",4247,15.84,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Phyllis G. Kenney","(Prefers Democratic Party)",22562,84.16,"Legislative"
"Legislative District 47 - State Senator","Claudia Kauffman","(Prefers Democratic Party)",11183,44.36,"Legislative"
"Legislative District 47 - State Senator","Joe Fain","(Prefers Republican Party)",14024,55.64,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Geoff Simpson","(Prefers Democratic Party)",9716,38.8,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)",9908,39.57,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Nancy Wyatt","(Prefers Republican Party)",5418,21.64,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)",13516,54.59,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Rodrigo M. Yanez","(Prefers Republican Party)",11245,45.41,"Legislative"
"Legislative District 48 - State Senator","Gregg Bennett","(Prefers Republican Party)",12302,47.33,"Legislative"
"Legislative District 48 - State Senator","Rodney Tom","(Prefers Democratic Party)",13688,52.67,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Diane Tebelius","(Prefers Republican Party)",11590,45.04,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Ross Hunter","(Prefers Democratic Party)",14142,54.96,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Deb Eddy","(Prefers Democratic Party)",13795,54.31,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Philip L. Wilson","(Prefers Republican Party)",11604,45.69,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Bill Cismar","(Prefers Republican Party)",10629,44.35,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Jim Jacks","(Prefers Democratic  Party)",13337,55.65,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Craig Riley","(Prefers Republican Party)",11291,46.86,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Jim Moeller","(Prefers Democratic Party)",12803,53.14,"Legislative"
"San Juan Superior Court - Judge Position 1","Donald E. Eaton","",4587,100,"Judicial"
